unused,unused,topic,songFragment
,,money,"Są łikendy są wakacje Są wakacje są atrakcje są atrakcje, są dziewczyny Są dziewczyny, zimne driny  Lato nie jest do kochania Lato jest do wyrywania Latem laski są gorące Ale trzeba mieć pieniądze  Zośka"
,,money,"Ja mam pędzące kiedy tylko chcę kochanie, wiem dziś nie oprzesz mi się ja mam papiery i monety skarbie, ja wiem jak to działa na kobiety  na zaczepkę kupie ci torebkę no a w lutym, nowe, nowe buty jeśli"
,,money,"nie dodałem strzała w pysk ale ciągle leci krew mi te suki oszukują,  tańczą pod moje piosenki  mam pojebane myśli i wypełnione bletki poważni ludzi mówią, bym nie bał sie pieprzyć  nie dodałem strzała"
,,money,"Made in heaven Raz, raz,  Paluch/Chris Carson Rap I Pieniądze  Rap I Pieniądze ziomek To śmierdzący temat Kurwy zazdrosne lubią ciebie jak nic nie masz Zaliczam postęp tak by nigdy tu się nie sprzedać Przeliczam"
,,money,"Intro Tylko liczy się hajs a ty dobrze to znasz.  Refren Miłość za pieniądze codzień cię widzę, codzień się wstydzę tego, codzień się brzydzę tego. Nie masz żadnych granic, Tobie to nie minie, dzisiaj"
,,money,"Internet to wolność? Raczej forma niewolnictwa Straconego czasu ziomuś nigdy nie odzyskasz Jak tego w którym pizgasz Dobrze znany tryb życiu To pieniądze, prestiż, konsumpcja, nadużycia Tu gdzie pociąg"
,,money,Uaaa gdzie są kurwa pieniądze  Uaaa gdzie są kurwa pieniądze  Uaaa gdzie są kurwa pieniądze  Uaaa gdzie są kurwa pieniądze  Uaaa gdzie są kurwa pieniądze  Uaaa gdzie są kurwa pieniądze  Uaaa gdzie są kurwa
,,money,"Tego potrzebują dzisiaj wszyscy Do tego dążą dzisiaj wszyscy To wyznacza cel w życiu wielu ludzi To określa dziś wszystko Ref.:  Pieniądze, pieniądze, pieniądze, pieniądze /x3 Pieniądze Za nie giną miliony"
,,money,"Szybkie samochody przyciągają oczy, laski na przystankach, poprawiają włosy. Dosyć mają pracy, w sklepie albo w barze. Wypinają piersi i pudrują twarze. Miłość za pieniądze, za pieniądze miłość. Kup mnie,"
,,money,"Jesteście gotowe naprawdę pokazać, że chcecie to?  Tap Madl! Tap Madl!  Masz imocje zajebistom Jesteś seksi Mas zpotenccial Takie oczy hypnotizing Takie piękne, takie taft!  Tap Madl! /10x  Sława pieniądze"
,,love,A twoje oczy płoną żarem Jak ekogroszek karton jaj I tak mógłbym się w nie wpatrywać Jak w piec w piwnicy całe dnie Tylko przyniosłabyś mnie piwo Bo z tej miłości usechłbym Poszukaj w kuchni a jak nie
,,love,"Utwór „Miłość” pochodzi z albumu ""Miłość"" grupy Sorry Boys. Pierwsza w pełni polskojęzyczna płyta warszawskiej ekipy będzie mieć premierę 10 maja 2019 roku."
,,love,"Gdy humor znika tak jak sen Wtedy samotność budzi się Gdy przymknę oczy Widzę nas O tobie myślę cały czas  Gdy noc zapada  Więc my znów Kochajmy się  bez zbędnych słów Miłą czy ty o tym wiesz Ze bardzo,"
,,love,"Miłość najpiękniejsza jest Gdy zaczyna tylko się Gdy przewraca cały świat Wtedy daje tobie czuły znak  Czy to miłość na pewno jest kiedy myślisz o niej cały dzień Gdy w twej głowie jedna myśli, czy zobaczysz"
